latitude,longitude,category
19.2091085,-99.0477233,restaurant
19.2096205,-99.0478712,restaurant
19.3512113,-99.1481823,mall
19.3807123,-99.1221862,restaurant
19.3807667,-99.1223217,restaurant
19.3389726,-99.2414771,restaurant
19.3389412,-99.2413155,restaurant
19.3820527,-99.1780465,restaurant
19.3879804,-99.1773158,restaurant
19.3934844,-99.0854912,restaurant
19.439336,-99.1683158,restaurant
19.439321,-99.1684793,restaurant
19.4393777,-99.1685854,restaurant
19.3698181,-99.1924251,restaurant
19.3878272,-99.0356266,restaurant
19.3663602,-99.2633271,pub
19.3475275,-99.2318223,restaurant
19.370567,-99.1797348,restaurant
19.4455928,-99.1099127,cafe
19.4450201,-99.1076948,restaurant
19.4032094,-99.0860992,restaurant
19.4040578,-99.0845718,restaurant
19.3565075,-99.1549885,restaurant
19.3453887,-99.1683757,restaurant
19.3753419,-99.1736325,restaurant
19.3751815,-99.1788909,restaurant
19.3661798,-99.1791096,restaurant
19.4151138,-99.0838459,restaurant
19.2961045,-99.0574649,cafe
19.4216742,-99.1633741,restaurant
19.3915426,-99.1746948,restaurant
19.4078532,-99.1337111,restaurant
19.2958791,-99.0553379,restaurant
19.2959479,-99.0553216,cafe
19.3451242,-99.1695675,restaurant
19.3451559,-99.1698111,restaurant
19.3451395,-99.1696538,restaurant
19.3451876,-99.170093,restaurant
19.3460119,-99.177203,cafe
19.3459911,-99.1770334,restaurant
19.3975858,-99.0557854,restaurant
19.4195529,-99.1609089,restaurant
19.3675608,-99.1818053,restaurant
19.367409,-99.1812366,bar
19.3821833,-99.0381138,cafe
19.3449471,-99.1578549,restaurant
19.3889034,-99.1767765,restaurant
19.3930072,-99.1732204,restaurant
19.3911716,-99.1768701,restaurant
19.2954709,-99.1754554,restaurant
19.2951937,-99.174987,restaurant
19.3786986,-99.1480685,restaurant
19.3757354,-99.140967,restaurant
19.3395169,-99.1443907,restaurant
19.4084563,-99.1616211,restaurant
19.4792467,-99.0654022,mall
19.351273,-99.186465,restaurant
19.3499518,-99.1864371,restaurant
19.3885973,-99.1742263,restaurant
19.426186,-99.1598407,cafe
19.4094062,-99.1755542,restaurant
19.4106504,-99.1678157,restaurant
19.4618689,-99.1267803,mall
19.4494624,-99.1122415,restaurant
19.3778447,-99.175602,cafe
19.3329258,-99.1730763,cafe
19.2891358,-99.166856,restaurant
19.4391932,-99.168276,restaurant
19.4112792,-99.1553817,restaurant
19.4852477,-99.0933954,mall
19.4527642,-99.184244,restaurant
19.33004,-99.211556,restaurant
19.3944515,-99.1729552,restaurant
19.292236,-99.2164305,restaurant
19.4305532,-99.1613163,cafe
19.298861,-99.178046,cafe
19.4638096,-99.181871,mall
19.4683302,-99.1783432,restaurant
19.3819791,-99.179864,restaurant
19.3822245,-99.1758736,restaurant
19.382574,-99.1757977,restaurant
19.3626932,-99.1808896,restaurant
19.3765824,-99.2553806,restaurant
19.5173988,-99.1423932,mall
19.5054797,-99.1470435,cafe
19.3416329,-99.2486666,restaurant
19.4337723,-99.1723957,restaurant
19.435594,-99.1739194,restaurant
19.2948391,-99.1767205,restaurant
19.4083124,-99.11498,mall
19.5240027,-99.1458979,mall
19.3354782,-99.1982937,restaurant
19.5064987,-99.1460935,restaurant
19.440114,-99.1846913,cafe
19.360076,-99.1689521,mall
19.4773733,-99.09948,mall
19.3671995,-99.279492,restaurant
19.3571738,-99.1989476,restaurant
19.359697,-99.1978402,restaurant
19.3633156,-99.1894275,restaurant
19.3641845,-99.1608448,restaurant
19.3921348,-99.1708091,restaurant
19.3697982,-99.1805126,restaurant
19.3893152,-99.1736888,restaurant
19.3887302,-99.1738819,restaurant
19.5003261,-99.1582853,mall
19.2818729,-99.1430652,cafe
19.3450047,-99.1651856,cafe
19.3664783,-99.2923626,restaurant
19.4687779,-99.1928152,restaurant
19.3779779,-99.1615348,restaurant
19.3796051,-99.1619776,restaurant
19.2537706,-99.2449903,restaurant
19.2534212,-99.2452873,restaurant
19.2530145,-99.2450427,restaurant
19.2534669,-99.2451435,restaurant
19.2533504,-99.2451172,cafe
19.2511561,-99.2492744,restaurant
19.3448754,-99.1638672,restaurant
19.3507565,-99.1625109,restaurant
19.4282253,-99.2171471,restaurant
19.4279297,-99.1324543,mall
19.428074,-99.1324345,mall
19.4272265,-99.1326167,mall
19.4271919,-99.1332795,mall
19.3338165,-99.3098059,restaurant
19.3345001,-99.197449,cafe
19.3948726,-99.1724681,restaurant
19.3891063,-99.1737469,restaurant
19.5016016,-99.1211045,mall
19.313248,-99.219281,mall
19.347551,-99.1905781,pub
19.3704457,-99.1789983,mall
19.3706436,-99.1786035,mall
19.371227,-99.17929,mall
19.370122,-99.1803603,restaurant
19.3945082,-99.1430725,restaurant
19.3810953,-99.1880225,restaurant
19.372773,-99.1799269,restaurant
19.3730635,-99.1797839,restaurant
19.3665655,-99.1367276,mall
19.3641821,-99.1877263,restaurant
19.3675147,-99.1865621,cafe
19.3706172,-99.1880189,restaurant
19.3701551,-99.1859762,restaurant
19.370198,-99.1848322,restaurant
19.3660884,-99.1850329,cafe
19.3662301,-99.1850292,restaurant
19.3650136,-99.1830773,restaurant
19.3676342,-99.1816292,restaurant
19.368308,-99.1829909,restaurant
19.3634911,-99.1847518,restaurant
19.3674509,-99.181314,restaurant
19.3707585,-99.1856078,restaurant
19.3615807,-99.184736,restaurant
19.370886,-99.1858606,restaurant
19.3707871,-99.1858505,restaurant
19.3655423,-99.1859778,cafe
19.4538769,-99.085237,cafe
19.4537883,-99.0854076,restaurant
19.4267906,-99.162347,bar
19.4264394,-99.16271,bar
19.4257357,-99.1645651,mall
19.4251406,-99.1657751,mall
19.4324601,-99.1512518,cafe
19.3164509,-99.2117958,mall
19.3162459,-99.2119495,mall
19.4327851,-99.1486139,cafe
19.4285259,-99.1568883,cafe
19.4257602,-99.1569865,restaurant
19.4242694,-99.1647455,cafe
19.2433042,-99.1966939,restaurant
19.4536695,-99.1718709,restaurant
19.4735837,-99.0634022,cafe
19.4186924,-99.2023229,cafe
19.3393626,-99.3108627,restaurant
19.3338603,-99.3100762,restaurant
19.3121585,-99.3107736,restaurant
19.3117434,-99.3115192,restaurant
19.3569379,-99.1895251,restaurant
